vendor,model,mean,std,min,max
Anthropic,claude-3-opus-20240229,4609.5,583.3630944789018,4197,5022
GROK,grok-3-mini,10043.0,595.9286870087728,9569,10712
Google,gemini-1.5-pro,3874.6666666666665,423.25445459360884,3482,4323
OpenAI,gpt-4.1-mini,5705.25,443.65780732451896,5279,6107
