vendor,model,mean,std,min,max
Anthropic,claude-3-opus-20240229,32.11049294471741,,32.11049294471741,32.11049294471741
GROK,grok-3-mini,15.308090925216675,,15.308090925216675,15.308090925216675
Google,gemini-1.5-pro,16.973388195037842,,16.973388195037842,16.973388195037842
OpenAI,gpt-4.1-mini,27.810884952545166,,27.810884952545166,27.810884952545166
