vendor,mean,std,min,max
Anthropic,32.11049294471741,,32.11049294471741,32.11049294471741
GROK,15.308090925216675,,15.308090925216675,15.308090925216675
Google,16.973388195037842,,16.973388195037842,16.973388195037842
OpenAI,27.810884952545166,,27.810884952545166,27.810884952545166
